Time(s)	CH1(V)	CH2(V)	CH3(V)	CH4(V)
1.8232000000e-02	3.343750	0.000000	0.031250	0.031250
1.8240000000e-02	3.406250	0.000000	0.031250	0.031250
1.8248000000e-02	3.343750	0.000000	0.031250	0.031250
1.8256000000e-02	3.343750	0.000000	0.031250	0.031250
1.8264000000e-02	3.406250	0.000000	0.031250	0.031250
1.8272000000e-02	3.343750	0.000000	0.031250	0.031250
1.8280000000e-02	3.343750	0.000000	0.031250	0.031250
1.8288000000e-02	3.343750	0.000000	0.031250	0.031250
1.8296000000e-02	3.343750	0.000000	0.031250	0.031250
1.8304000000e-02	3.343750	0.000000	0.031250	0.031250
1.8312000000e-02	3.406250	0.000000	0.031250	0.031250
1.8320000000e-02	3.343750	0.000000	0.031250	0.031250
1.8328000000e-02	3.406250	0.000000	0.031250	0.031250
1.8336000000e-02	3.343750	0.000000	0.031250	0.031250
1.8344000000e-02	3.343750	0.000000	0.031250	0.031250
1.8352000000e-02	3.406250	0.000000	0.031250	0.031250
1.8360000000e-02	3.343750	0.000000	0.031250	0.031250
1.8368000000e-02	3.343750	0.000000	0.031250	0.031250
1.8376000000e-02	3.406250	0.000000	0.031250	0.031250
1.8384000000e-02	3.343750	0.000000	0.031250	0.031250
1.8392000000e-02	3.343750	0.000000	0.031250	0.031250
1.8400000000e-02	3.406250	0.000000	0.031250	0.031250
1.8408000000e-02	0.062500	0.000000	0.031250	0.031250
1.8416000000e-02	0.031250	0.000000	0.031250	0.031250
1.8424000000e-02	0.031250	0.000000	0.031250	0.031250
1.8432000000e-02	0.031250	0.000000	0.031250	0.031250
1.8440000000e-02	0.031250	0.000000	0.031250	0.031250
1.8448000000e-02	0.031250	0.000000	0.031250	0.031250
1.8456000000e-02	0.031250	0.031250	0.031250	0.031250
1.8464000000e-02	0.031250	0.000000	0.031250	0.031250
1.8472000000e-02	0.031250	0.000000	0.031250	0.031250
1.8480000000e-02	0.031250	0.000000	0.031250	0.031250
1.8488000000e-02	0.031250	0.000000	0.031250	0.031250
1.8496000000e-02	0.031250	0.000000	0.031250	0.031250
1.8504000000e-02	0.031250	0.000000	0.031250	0.031250
1.8512000000e-02	0.031250	0.000000	0.031250	0.031250
1.8520000000e-02	0.031250	0.000000	0.031250	0.031250
1.8528000000e-02	0.031250	0.000000	0.031250	0.031250
1.8536000000e-02	0.031250	0.000000	0.031250	0.031250
1.8544000000e-02	0.031250	0.000000	0.031250	0.031250
1.8552000000e-02	0.031250	0.000000	0.031250	0.031250
1.8560000000e-02	0.031250	0.000000	0.031250	0.031250
1.8568000000e-02	0.031250	0.000000	0.031250	0.031250
1.8576000000e-02	0.031250	0.000000	0.031250	0.031250
1.8584000000e-02	0.031250	0.000000	0.031250	0.031250
1.8592000000e-02	0.031250	0.000000	0.031250	0.031250
1.8600000000e-02	0.031250	0.000000	0.031250	0.031250
1.8608000000e-02	0.031250	0.000000	0.031250	0.031250
1.8616000000e-02	0.031250	0.000000	0.031250	0.031250
1.8624000000e-02	0.031250	0.031250	0.031250	0.031250
1.8632000000e-02	0.031250	0.000000	0.031250	0.031250
1.8640000000e-02	0.031250	0.000000	0.031250	0.031250
1.8648000000e-02	0.031250	0.000000	0.031250	0.031250
1.8656000000e-02	0.031250	0.000000	0.031250	0.031250
1.8664000000e-02	0.031250	0.000000	0.031250	0.031250
1.8672000000e-02	0.031250	0.000000	0.031250	0.031250
1.8680000000e-02	0.031250	0.000000	0.031250	0.031250
1.8688000000e-02	0.031250	0.000000	0.031250	0.031250
1.8696000000e-02	0.031250	0.000000	0.031250	0.031250
1.8704000000e-02	0.031250	0.000000	0.031250	0.031250
1.8712000000e-02	0.031250	0.000000	0.031250	0.031250
1.8720000000e-02	0.031250	0.000000	0.031250	0.031250
1.8728000000e-02	0.031250	0.000000	0.031250	0.031250
1.8736000000e-02	0.031250	0.000000	0.031250	0.031250
1.8744000000e-02	0.031250	0.000000	0.031250	0.031250
1.8752000000e-02	0.031250	0.000000	0.031250	0.031250
1.8760000000e-02	0.031250	0.000000	0.031250	0.031250
